site,id
MLA,787200823
MLA,687472063
MLA,839084261
MLA,813840673
MLA,830206526
MLA,659151087
MLA,807315293
MLA,718469614
MLA,690202444
MLA,836197516
MLA,803868186
MLA,763031636
MLA,805989229
MLA,793011860
MLA,746765227
MLA,672179308
MLA,824829014
MLA,627358361
MLA,821692617
MLA,823548911
MLA,844372324
MLA,815832102
MLA,810730517
MLA,825466596
MLA,809942679
MLA,705020957
MLA,837302440
MLA,790367143
MLA,690614615
MLA,776767951
MLA,828127015
MLA,720966298
MLA,821587936
MLA,814420697
MLA,771379146
MLA,829305400
MLA,721108347
MLA,603523445
MLA,695387311
MLA,833696542
MLA,769217639
MLA,851320527
MLA,832362914
MLA,829910574
MLA,826854383
MLA,791750361
MLA,658003814
MLA,821610129
MLA,789053996
MLA,824006861
MLA,781983283
MLA,838692714
MLA,713125565
MLA,795308061
MLA,608039090
MLA,826323668
MLA,841229536
MLA,807373229
MLA,809290585
MLA,848623792
MLA,809262228
MLA,782176255
MLA,848241538
MLA,842230514
MLA,848618021
MLA,836889600
MLA,823870891
MLA,738524372
MLA,775838891
MLA,683564662
MLA,655918018
MLA,824697449
MLA,838372321
MLA,722591610
MLA,846037905
MLA,660337092
MLA,763821737
MLA,781253744
MLA,814378857
MLA,816531589
MLA,714456470
MLA,843526063
MLA,828697476
MLA,795294606
MLA,786887534
MLA,630804531
MLA,691058084
MLA,833371838
MLA,848367614
MLA,744662552
MLA,816160841
MLA,829577675
MLA,745392005
MLA,720858165
MLA,735799453
MLA,729645787
MLA,828887449
MLA,725997501
MLA,715080225
MLA,847400378
MLA,842322055
MLA,817855768
MLA,763300880
MLA,820680673
MLA,760678646
MLA,833861690
MLA,843335445
MLA,721766254
MLA,814724731
MLA,848651298
MLA,846527904
MLA,670760526
MLA,687492348
MLA,851704090
MLA,845487618
